16:17:50 Server load: FPS 46, memory used: 2062 MB, out: 20319 Kbps, in: 608 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:1, R:0, B:1, G:96, D:0)
16:17:55 Server load: FPS 46, memory used: 2060 MB, out: 18681 Kbps, in: 456 Kbps, NG:0, G:1020, BE-NG:0, BE-G:0, Players: 98 (L:1, R:0, B:1, G:96, D:0)
16:18:00 Server load: FPS 46, memory used: 2062 MB, out: 21001 Kbps, in: 607 Kbps, NG:0, G:12838, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:05 Server load: FPS 46, memory used: 2063 MB, out: 20762 Kbps, in: 655 Kbps, NG:0, G:6370, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:10 Server load: FPS 46, memory used: 2062 MB, out: 18710 Kbps, in: 670 Kbps, NG:0, G:6468, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:15 Server load: FPS 46, memory used: 2063 MB, out: 21429 Kbps, in: 710 Kbps, NG:0, G:12740, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:20 Server load: FPS 46, memory used: 2065 MB, out: 20234 Kbps, in: 663 Kbps, NG:0, G:15876, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:25 Server load: FPS 46, memory used: 2064 MB, out: 22526 Kbps, in: 660 Kbps, NG:0, G:6370, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:30 Server load: FPS 46, memory used: 2066 MB, out: 21346 Kbps, in: 529 Kbps, NG:0, G:19012, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:35 Server load: FPS 46, memory used: 2065 MB, out: 20851 Kbps, in: 515 Kbps, NG:0, G:7558, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:18:40 Server load: FPS 46, memory used: 2079 MB, out: 22155 Kbps, in: 559 Kbps, NG:0, G:6444, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:18:45 Server load: FPS 46, memory used: 2078 MB, out: 21873 Kbps, in: 526 Kbps, NG:0, G:3300, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:18:50 Server load: FPS 46, memory used: 2079 MB, out: 20717 Kbps, in: 512 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:18:55 Server load: FPS 46, memory used: 2079 MB, out: 20328 Kbps, in: 476 Kbps, NG:0, G:7401, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:00 Server load: FPS 46, memory used: 2078 MB, out: 21408 Kbps, in: 492 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:05 Server load: FPS 46, memory used: 2077 MB, out: 23234 Kbps, in: 487 Kbps, NG:0, G:19789, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:10 Server load: FPS 46, memory used: 2076 MB, out: 27590 Kbps, in: 518 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:15 Server load: FPS 46, memory used: 2071 MB, out: 26156 Kbps, in: 513 Kbps, NG:0, G:7623, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:20 Server load: FPS 46, memory used: 2070 MB, out: 19911 Kbps, in: 487 Kbps, NG:0, G:12771, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:19:25 Server load: FPS 46, memory used: 2071 MB, out: 21930 Kbps, in: 517 Kbps, NG:0, G:14256, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:30 Server load: FPS 46, memory used: 2071 MB, out: 21097 Kbps, in: 512 Kbps, NG:0, G:7722, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:36 Server load: FPS 46, memory used: 2072 MB, out: 22306 Kbps, in: 526 Kbps, NG:0, G:6522, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:41 Server load: FPS 46, memory used: 2071 MB, out: 20719 Kbps, in: 499 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:46 Server load: FPS 46, memory used: 2072 MB, out: 22501 Kbps, in: 526 Kbps, NG:0, G:1374, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:51 Server load: FPS 46, memory used: 2073 MB, out: 22816 Kbps, in: 536 Kbps, NG:0, G:13068, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:19:56 Server load: FPS 46, memory used: 2076 MB, out: 28305 Kbps, in: 617 Kbps, NG:0, G:9306, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:01 Server load: FPS 46, memory used: 2073 MB, out: 23262 Kbps, in: 537 Kbps, NG:0, G:14256, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:06 Server load: FPS 46, memory used: 2073 MB, out: 23865 Kbps, in: 582 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:11 Server load: FPS 46, memory used: 2074 MB, out: 23425 Kbps, in: 572 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:16 Server load: FPS 46, memory used: 2074 MB, out: 23847 Kbps, in: 576 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:21 Server load: FPS 46, memory used: 2075 MB, out: 23925 Kbps, in: 581 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:26 Server load: FPS 47, memory used: 2086 MB, out: 26971 Kbps, in: 600 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:31 Server load: FPS 46, memory used: 2077 MB, out: 25970 Kbps, in: 570 Kbps, NG:0, G:20097, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:36 Server load: FPS 46, memory used: 2076 MB, out: 22980 Kbps, in: 580 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:41 Server load: FPS 46, memory used: 2077 MB, out: 24605 Kbps, in: 598 Kbps, NG:0, G:13068, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:46 Server load: FPS 46, memory used: 2079 MB, out: 27121 Kbps, in: 633 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:51 Server load: FPS 46, memory used: 2077 MB, out: 25296 Kbps, in: 599 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:20:56 Server load: FPS 46, memory used: 2078 MB, out: 25173 Kbps, in: 595 Kbps, NG:0, G:44, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:01 Server load: FPS 46, memory used: 2078 MB, out: 26488 Kbps, in: 610 Kbps, NG:0, G:7722, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:06 Server load: FPS 46, memory used: 2078 MB, out: 27761 Kbps, in: 633 Kbps, NG:0, G:10, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:11 Server load: FPS 46, memory used: 2079 MB, out: 24988 Kbps, in: 589 Kbps, NG:0, G:6553, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:16 Server load: FPS 46, memory used: 2078 MB, out: 22893 Kbps, in: 551 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:21 Server load: FPS 46, memory used: 2078 MB, out: 23669 Kbps, in: 585 Kbps, NG:0, G:11781, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:26 Server load: FPS 46, memory used: 2078 MB, out: 24959 Kbps, in: 591 Kbps, NG:0, G:68, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
