16:00:03 Initializing stats manager.
16:00:03 Stats config disabled.
16:06:04 [KPLIB] [STATS] Karmakut - FPS: 48.63 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 10, execVM: 21, exec: 0, execFSM: 3]
16:06:11 [KPLIB] [STATS] Doc Lentz - FPS: 34.41 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 21, exec: 0, execFSM: 2]
16:06:12 [KPLIB] [STATS] (NECK) Klyde - FPS: 2.54 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 28, execVM: 25, exec: 0, execFSM: 2]
16:06:22 [KPLIB] [STATS] HC1 - FPS: 45.07 - Local groups: 5 - Local units: 19 - Active Scripts: [spawn: 1, execVM: 6, exec: 0, execFSM: 1]
16:06:23 [KPLIB] [STATS] HC2 - FPS: 32 - Local groups: 5 - Local units: 20 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:06:25 [KPLIB] [STATS] Error: No vehicle - FPS: 71.11 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 15, execVM: 4, exec: 0, execFSM: 1]
16:06:33 [KPLIB] [STATS] Anatoly - FPS: 2.23 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 23, exec: 0, execFSM: 2]
16:06:48 [KPLIB] [STATS] WalksThruTrees - FPS: 1.66 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 25, exec: 0, execFSM: 2]
16:06:48 [KPLIB] [STATS] Vespyr Large - FPS: 43.6 - Local groups: 2 - Local units: 2 - Active Scripts: [spawn: 17, execVM: 21, exec: 0, execFSM: 2]
16:06:48 [KPLIB] [STATS] Dynasty - FPS: 87.43 - Local groups: 3 - Local units: 4 - Active Scripts: [spawn: 12, execVM: 21, exec: 0, execFSM: 2]
16:06:48 [KPLIB] [STATS] Prophet20147 - FPS: 30.42 - Local groups: 2 - Local units: 2 - Active Scripts: [spawn: 16, execVM: 21, exec: 0, execFSM: 2]
16:06:49 [KPLIB] [STATS] BOOMY - FPS: 43.6 - Local groups: 2 - Local units: 2 - Active Scripts: [spawn: 16, execVM: 21, exec: 0, execFSM: 2]
16:06:51 [KPLIB] [STATS] Rookie - FPS: 59.93 - Local groups: 3 - Local units: 3 - Active Scripts: [spawn: 19, execVM: 21, exec: 0, execFSM: 2]
16:06:51 [KPLIB] [STATS] Merrill - FPS: 53.51 - Local groups: 4 - Local units: 4 - Active Scripts: [spawn: 23, execVM: 21, exec: 0, execFSM: 2]
16:06:51 [KPLIB] [STATS] Mooskle - FPS: 3.84 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 25, exec: 0, execFSM: 3]
16:06:51 [KPLIB] [STATS] Beano - FPS: 60.15 - Local groups: 1 - Local units: 2 - Active Scripts: [spawn: 16, execVM: 21, exec: 0, execFSM: 2]
16:06:52 [KPLIB] [STATS] Sixhours08 - FPS: 48.05 - Local groups: 3 - Local units: 3 - Active Scripts: [spawn: 20, execVM: 21, exec: 0, execFSM: 2]
16:06:57 [KPLIB] [STATS] Buck - FPS: 34.93 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 21, exec: 0, execFSM: 2]
16:06:58 [KPLIB] [STATS] Hades - FPS: 45.98 - Local groups: 2 - Local units: 2 - Active Scripts: [spawn: 19, execVM: 21, exec: 0, execFSM: 2]
16:06:58 [KPLIB] [STATS] SharkBait - FPS: 37.74 - Local groups: 2 - Local units: 2 - Active Scripts: [spawn: 20, execVM: 21, exec: 0, execFSM: 2]
