Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
19:14:28,41,2721,33931,815,0,20,0,0,81
19:14:33,40,2730,30149,760,0,20,0,0,81
19:14:38,39,2732,21570,794,0,5214,0,0,81
19:14:43,31,2742,26994,819,0,33021,0,0,81
19:14:48,34,2746,32244,880,0,25774,0,0,81
19:14:53,37,2747,31086,742,0,145220,0,0,81
19:14:58,39,2751,35291,749,0,15016,0,0,81
19:15:03,37,2754,37421,716,0,24567,0,0,81
19:15:08,37,2760,38239,766,0,5829,0,0,81
19:15:13,30,2769,49859,1055,0,20684,0,0,81
19:15:19,18,2790,77752,1519,0,85752,0,0,81
19:15:24,18,2781,73318,1280,0,3402,0,0,81
19:15:29,28,2776,46107,1024,0,57179,0,0,81
19:15:34,32,2777,49890,1042,0,30347,0,0,81
19:15:39,30,2777,49952,1073,0,83527,0,0,81
19:15:44,38,2771,35291,830,0,10491,0,0,81
19:15:49,35,2779,41776,879,0,12440,0,0,81
19:15:54,34,2783,45992,923,0,5149,0,0,81
19:15:59,32,2790,56884,1002,0,18225,0,0,81
19:16:04,37,2782,45273,757,0,12426,0,0,81
19:16:09,40,2784,40814,700,0,0,0,0,81
19:16:14,6,2844,108480,1852,0,581418,0,0,82
19:16:19,35,2789,40893,875,0,1968,0,0,82
19:16:24,27,2792,62594,814,0,5274,0,0,82
19:16:30,39,2784,28423,755,0,10530,0,0,82
19:16:35,41,2784,27063,722,0,5323,0,0,82
19:16:40,40,2782,27407,762,0,0,0,0,83
19:16:45,40,2784,27447,838,0,10530,0,0,83
19:16:50,40,2783,22357,972,0,11016,0,0,84
19:16:55,41,2785,24297,1008,0,0,0,0,84
19:17:00,39,2781,24184,874,0,6340,0,0,83
19:17:05,42,2781,20748,986,0,810,0,0,83
19:17:10,42,2781,19499,1180,0,5200,0,0,83
19:17:15,43,2782,18876,1320,0,9,0,0,83
19:17:20,39,2782,25974,1324,0,25530,0,0,83
19:17:25,40,2785,17194,1065,0,14224,0,0,84
19:17:30,40,2784,17192,1028,0,10000,0,0,85
19:17:35,39,2786,16946,974,0,8978,0,0,84
19:17:40,38,2784,18210,966,0,25571,0,0,84
19:17:45,40,2783,17114,899,0,0,0,0,84
19:17:50,40,2785,17779,918,0,18844,0,0,84
19:17:55,44,2786,15598,728,0,10447,0,0,84
19:18:00,42,2786,21460,809,0,0,0,0,84
19:18:05,45,2790,15830,705,0,16574,0,0,84
19:18:10,44,2794,18464,755,0,16686,0,0,84
19:18:15,44,2797,20958,872,0,71,0,0,85
19:18:20,41,2806,25639,818,0,12520,0,0,85
19:18:25,43,2807,28196,807,0,5320,0,0,85
19:18:30,40,2814,33567,910,0,29504,0,0,86
19:18:35,41,2814,33581,904,0,0,0,0,86
19:18:41,40,2810,27853,912,0,5346,0,0,86
19:18:46,42,2810,18558,915,0,55,0,0,86
19:18:51,41,2811,17371,938,0,1070,0,0,86
19:18:56,39,2812,18113,1010,0,79380,0,0,86
19:19:01,38,2816,18680,923,0,5184,0,0,86
19:19:06,40,2819,18205,1004,0,9477,0,0,86
19:19:11,40,2820,18340,1004,0,6130,0,0,86
19:19:16,38,2826,21712,910,0,392,0,0,86
19:19:21,37,2834,25683,840,0,8774,0,0,86
19:19:26,36,2845,35590,964,0,8078,0,0,86
19:19:31,24,2858,57107,1223,0,7519,0,0,86
19:19:36,17,2878,80554,1471,0,93904,0,0,86
19:19:41,30,2875,41904,913,0,39551,0,0,86
19:19:46,34,2876,38864,792,0,52439,0,0,85
19:19:51,32,2873,42402,845,0,22726,0,0,85
19:19:56,33,2860,33602,904,0,97813,0,0,85
19:20:01,30,2871,40685,844,0,10836,0,0,85
19:20:06,31,2873,48981,826,0,11004,0,0,85
19:20:11,30,2878,51331,847,0,12410,0,0,85
19:20:17,30,2879,53935,851,0,37815,0,0,85
19:20:22,28,2876,51106,880,0,680,0,0,85
19:20:27,36,2866,29696,876,0,21478,0,0,85
19:20:32,33,2870,35217,879,0,23861,0,0,85
19:20:37,33,2873,37258,857,0,10965,0,0,85
19:20:42,31,2877,41230,847,0,5944,0,0,85
19:20:47,31,2878,38383,970,0,27437,0,0,85
19:20:52,21,2891,57887,1291,0,57149,0,0,85
19:20:57,15,2895,71799,1546,0,5610,0,0,85
19:21:02,36,2864,19042,883,0,36220,0,0,85
19:21:07,36,2866,19804,876,0,8765,0,0,85
19:21:12,37,2863,18692,900,7140,40329,0,0,85
19:21:17,37,2863,18975,936,0,13322,0,0,84
19:21:22,37,2864,18745,906,0,6216,0,0,84
19:21:27,36,2864,19453,920,0,11760,0,0,84
19:21:32,37,2865,19306,923,0,42896,0,0,84
19:21:37,37,2865,19607,929,0,5348,0,0,84
19:21:42,37,2865,19327,915,0,672,0,0,84
19:21:47,37,2868,17706,912,0,5460,0,0,84
19:21:52,36,2867,20625,937,0,27639,0,0,83
19:21:57,36,2869,20353,994,0,2666,0,0,84
19:22:02,37,2869,18330,977,0,10,0,0,84
19:22:07,37,2870,19826,971,0,12354,0,0,84
19:22:12,38,2869,19245,935,0,924,0,0,84
19:22:17,38,2866,19233,949,0,6753,0,0,84
19:22:22,39,2867,16282,902,0,5312,0,0,84
19:22:27,38,2870,16435,1076,0,664,0,0,84
19:22:32,39,2871,16911,1121,0,13280,0,0,84
19:22:38,38,2872,17385,1117,0,13280,0,0,84
19:22:43,38,2874,17238,970,0,9,0,0,84
19:22:48,37,2876,16437,866,0,15770,0,0,84
19:22:53,38,2874,15953,872,0,11779,0,0,84
19:22:58,39,2877,15496,870,0,6403,0,0,84
19:23:03,38,2877,16555,885,0,5330,0,0,84
19:23:08,38,2876,16190,870,0,5265,0,0,82
19:23:13,39,2875,17517,896,0,6561,0,0,82
19:23:18,38,2876,18482,906,0,5681,0,0,82
19:23:23,38,2881,17710,951,0,0,0,0,82
19:23:28,39,2881,15399,908,0,1804,0,0,82
19:23:33,39,2883,16865,923,0,935,0,0,82
19:23:38,37,2899,19297,961,0,1804,0,0,82
19:23:43,37,2897,21383,924,0,0,0,0,82
19:23:48,33,2901,25382,971,0,284790,0,0,82
19:23:53,32,2907,30081,1106,0,16154,0,0,83
19:23:58,33,2907,35032,1057,0,24175,0,0,82
19:24:03,33,2908,32322,1154,0,5275,0,0,83
19:24:08,25,2922,46560,1519,0,10326,0,0,83
19:24:13,19,2941,66739,1871,0,7322,0,0,83
19:24:18,22,2925,59091,1592,0,13028,0,0,83
19:24:23,34,2911,30936,1216,0,10611,0,0,83
19:24:28,38,2907,16902,998,0,5508,0,0,83
19:24:33,34,2916,25840,1048,0,16200,0,0,83
19:24:38,38,2912,16098,1021,0,21480,0,0,83
19:24:44,39,2910,16182,958,0,10692,0,0,83
19:24:49,37,2913,16202,950,0,2988,0,0,83
19:24:54,38,2915,15470,951,0,5346,0,0,83
19:24:59,37,2916,16429,975,0,5346,0,0,83
19:25:04,40,2919,13982,932,0,0,0,0,83
19:25:09,36,2923,16236,979,0,5346,0,0,83
19:25:14,37,2924,16458,1002,0,0,0,0,83
19:25:19,37,2924,17456,1011,0,15471,0,0,83
19:25:24,38,2924,15357,992,0,5738,0,0,83
19:25:29,37,2926,15407,999,0,13122,0,0,83
19:25:34,36,2928,15554,992,0,996,0,0,83
19:25:39,37,2929,14931,969,0,12970,0,0,83
19:25:44,38,2931,14596,954,0,10287,0,0,83
19:25:49,38,2931,15318,976,0,5265,0,0,83
19:25:54,37,2933,14319,945,0,5472,0,0,83
19:25:59,36,2936,14531,1064,0,5427,0,0,84
19:26:04,37,2939,16299,1136,0,10,0,0,84
19:26:09,36,2940,15530,1158,0,51162,0,0,84
19:26:14,36,2940,20015,1251,0,10854,0,0,84
19:26:19,36,2937,18274,1192,0,0,0,0,84
19:26:24,36,2939,16561,1158,0,5427,0,0,84
19:26:29,37,2942,14905,1004,0,4293,0,0,84
19:26:34,35,2941,15594,982,0,5301,0,0,84
19:26:39,36,2939,16117,975,0,2026,0,0,84
19:26:44,36,2944,17888,968,0,0,0,0,84
19:26:49,35,2950,22847,943,0,7298,0,0,84
19:26:55,35,2957,28477,1030,0,1092,0,0,84
