17:32:24 [KPLIB] [STATS] Server - FPS: 32.59 - Local groups: 4 - Local units: 3 - Active Sectors: 5 - Active Scripts: [spawn: 165, execVM: 29, exec: 0, execFSM: 85]
17:34:26 [KPLIB] [STATS] Server - FPS: 23.63 - Local groups: 5 - Local units: 3 - Active Sectors: 4 - Active Scripts: [spawn: 173, execVM: 29, exec: 0, execFSM: 88]
17:36:26 [KPLIB] [STATS] Server - FPS: 32.45 - Local groups: 5 - Local units: 3 - Active Sectors: 4 - Active Scripts: [spawn: 168, execVM: 29, exec: 0, execFSM: 93]
17:38:26 [KPLIB] [STATS] Server - FPS: 37.38 - Local groups: 5 - Local units: 3 - Active Sectors: 4 - Active Scripts: [spawn: 156, execVM: 29, exec: 0, execFSM: 92]
17:40:26 [KPLIB] [STATS] Server - FPS: 39.02 - Local groups: 6 - Local units: 4 - Active Sectors: 4 - Active Scripts: [spawn: 147, execVM: 29, exec: 0, execFSM: 90]
17:42:27 [KPLIB] [STATS] Server - FPS: 29.14 - Local groups: 5 - Local units: 4 - Active Sectors: 4 - Active Scripts: [spawn: 146, execVM: 29, exec: 0, execFSM: 90]
17:44:28 [KPLIB] [STATS] Server - FPS: 38.46 - Local groups: 5 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 143, execVM: 29, exec: 0, execFSM: 80]
17:46:28 [KPLIB] [STATS] Server - FPS: 27.12 - Local groups: 5 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 150, execVM: 29, exec: 0, execFSM: 76]
17:48:28 [KPLIB] [STATS] Server - FPS: 35.32 - Local groups: 5 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 162, execVM: 29, exec: 0, execFSM: 77]
17:50:28 [KPLIB] [STATS] Server - FPS: 30.65 - Local groups: 5 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 174, execVM: 29, exec: 0, execFSM: 77]
17:52:29 [KPLIB] [STATS] Server - FPS: 35.16 - Local groups: 4 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 184, execVM: 29, exec: 0, execFSM: 73]
17:54:29 [KPLIB] [STATS] Server - FPS: 27.68 - Local groups: 5 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 188, execVM: 29, exec: 0, execFSM: 71]
17:56:29 [KPLIB] [STATS] Server - FPS: 40.3 - Local groups: 5 - Local units: 4 - Active Sectors: 4 - Active Scripts: [spawn: 182, execVM: 29, exec: 0, execFSM: 70]
17:58:30 [KPLIB] [STATS] Server - FPS: 22.16 - Local groups: 4 - Local units: 3 - Active Sectors: 2 - Active Scripts: [spawn: 181, execVM: 29, exec: 0, execFSM: 114]
18:00:31 [KPLIB] [STATS] Server - FPS: 15.12 - Local groups: 6 - Local units: 3 - Active Sectors: 2 - Active Scripts: [spawn: 187, execVM: 29, exec: 0, execFSM: 103]
18:02:31 [KPLIB] [STATS] Server - FPS: 31.01 - Local groups: 3 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 172, execVM: 29, exec: 0, execFSM: 83]
18:04:31 [KPLIB] [STATS] Server - FPS: 27.87 - Local groups: 3 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 174, execVM: 29, exec: 0, execFSM: 106]
18:06:31 [KPLIB] [STATS] Server - FPS: 39.31 - Local groups: 3 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 171, execVM: 29, exec: 0, execFSM: 86]
18:08:32 [KPLIB] [STATS] Server - FPS: 29.91 - Local groups: 6 - Local units: 6 - Active Sectors: 1 - Active Scripts: [spawn: 183, execVM: 29, exec: 0, execFSM: 89]
18:10:32 [KPLIB] [STATS] Server - FPS: 35.79 - Local groups: 7 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 182, execVM: 29, exec: 0, execFSM: 85]
18:12:33 [KPLIB] [STATS] Server - FPS: 38.46 - Local groups: 5 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 178, execVM: 29, exec: 0, execFSM: 75]
18:14:34 [KPLIB] [STATS] Server - FPS: 29.91 - Local groups: 5 - Local units: 5 - Active Sectors: 3 - Active Scripts: [spawn: 177, execVM: 29, exec: 0, execFSM: 96]
18:16:34 [KPLIB] [STATS] Server - FPS: 35.01 - Local groups: 6 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 174, execVM: 29, exec: 0, execFSM: 76]
18:18:34 [KPLIB] [STATS] Server - FPS: 36.7 - Local groups: 6 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 160, execVM: 29, exec: 0, execFSM: 73]
18:20:34 [KPLIB] [STATS] Server - FPS: 40.3 - Local groups: 6 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 156, execVM: 29, exec: 0, execFSM: 72]
18:22:35 [KPLIB] [STATS] Server - FPS: 38.28 - Local groups: 5 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 173, execVM: 29, exec: 0, execFSM: 72]
18:24:35 [KPLIB] [STATS] Server - FPS: 38.74 - Local groups: 6 - Local units: 5 - Active Sectors: 1 - Active Scripts: [spawn: 180, execVM: 29, exec: 0, execFSM: 78]
18:26:36 [KPLIB] [STATS] Server - FPS: 23.81 - Local groups: 6 - Local units: 5 - Active Sectors: 2 - Active Scripts: [spawn: 194, execVM: 29, exec: 0, execFSM: 102]
18:28:38 [KPLIB] [STATS] Server - FPS: 42.11 - Local groups: 7 - Local units: 5 - Active Sectors: 0 - Active Scripts: [spawn: 186, execVM: 29, exec: 0, execFSM: 81]
18:30:38 [KPLIB] [STATS] Server - FPS: 43.72 - Local groups: 8 - Local units: 3 - Active Sectors: 0 - Active Scripts: [spawn: 188, execVM: 29, exec: 0, execFSM: 81]
18:32:40 [KPLIB] [STATS] Server - FPS: 34.12 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 181, execVM: 29, exec: 0, execFSM: 83]
18:34:40 [KPLIB] [STATS] Server - FPS: 45.07 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 176, execVM: 29, exec: 0, execFSM: 77]
18:36:40 [KPLIB] [STATS] Server - FPS: 44.69 - Local groups: 8 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 173, execVM: 29, exec: 0, execFSM: 73]
18:38:40 [KPLIB] [STATS] Server - FPS: 40 - Local groups: 9 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 172, execVM: 29, exec: 0, execFSM: 74]
18:40:41 [KPLIB] [STATS] Server - FPS: 43.48 - Local groups: 10 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 174, execVM: 29, exec: 0, execFSM: 75]
18:42:41 [KPLIB] [STATS] Server - FPS: 37.65 - Local groups: 5 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 171, execVM: 29, exec: 0, execFSM: 74]
18:44:41 [KPLIB] [STATS] Server - FPS: 44.2 - Local groups: 6 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 172, execVM: 29, exec: 0, execFSM: 74]
18:46:41 [KPLIB] [STATS] Server - FPS: 37.91 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 177, execVM: 29, exec: 0, execFSM: 74]
18:48:42 [KPLIB] [STATS] Server - FPS: 47.34 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 180, execVM: 29, exec: 0, execFSM: 73]
18:50:43 [KPLIB] [STATS] Server - FPS: 43.13 - Local groups: 10 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 178, execVM: 29, exec: 0, execFSM: 73]
18:52:43 [KPLIB] [STATS] Server - FPS: 45.07 - Local groups: 5 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 181, execVM: 29, exec: 0, execFSM: 61]
18:54:44 [KPLIB] [STATS] Server - FPS: 43.72 - Local groups: 6 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 177, execVM: 29, exec: 0, execFSM: 62]
18:56:44 [KPLIB] [STATS] Server - FPS: 38.1 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 175, execVM: 29, exec: 0, execFSM: 65]
18:58:44 [KPLIB] [STATS] Server - FPS: 44.57 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 166, execVM: 29, exec: 0, execFSM: 65]
19:00:45 [KPLIB] [STATS] Server - FPS: 39.7 - Local groups: 7 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 164, execVM: 29, exec: 0, execFSM: 65]
19:02:45 [KPLIB] [STATS] Server - FPS: 43.48 - Local groups: 4 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 162, execVM: 29, exec: 0, execFSM: 65]
19:04:46 [KPLIB] [STATS] Server - FPS: 42.78 - Local groups: 6 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 165, execVM: 29, exec: 0, execFSM: 65]
19:06:46 [KPLIB] [STATS] Server - FPS: 40.3 - Local groups: 7 - Local units: 5 - Active Sectors: 0 - Active Scripts: [spawn: 165, execVM: 29, exec: 0, execFSM: 65]
19:08:46 [KPLIB] [STATS] Server - FPS: 43.24 - Local groups: 6 - Local units: 4 - Active Sectors: 0 - Active Scripts: [spawn: 161, execVM: 29, exec: 0, execFSM: 68]
