,Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
227,2021-05-09 16:32:41,47,2120,24611,621,0,25938,0,0,98
228,2021-05-09 16:32:46,47,2117,27097,632,0,9764,0,0,98
229,2021-05-09 16:32:51,47,2117,24109,627,0,7395,0,0,98
230,2021-05-09 16:32:56,46,2120,25041,641,0,25938,0,0,98
231,2021-05-09 16:33:01,47,2119,23974,606,0,21879,0,0,98
232,2021-05-09 16:33:06,47,2118,23214,600,0,6435,0,0,98
233,2021-05-09 16:33:11,47,2126,28245,644,0,14469,0,0,98
234,2021-05-09 16:33:16,47,2142,35274,677,0,12969,0,0,98
235,2021-05-09 16:33:21,47,2118,27768,617,0,8118,0,0,98
236,2021-05-09 16:33:26,47,2122,26970,636,0,13573,0,0,98
237,2021-05-09 16:33:31,47,2149,40160,717,0,114160,0,0,98
238,2021-05-09 16:33:36,48,2143,33688,732,0,39402,0,0,98
239,2021-05-09 16:33:41,48,2139,27906,645,0,24750,0,0,98
240,2021-05-09 16:33:46,48,2136,25646,689,0,13068,0,0,98
241,2021-05-09 16:33:51,48,2138,23845,646,0,62073,0,0,98
242,2021-05-09 16:33:56,47,2145,29719,710,0,24552,0,0,98
243,2021-05-09 16:34:01,44,2166,42276,827,0,13068,0,0,98
244,2021-05-09 16:34:06,48,2162,23887,718,0,6534,0,0,98
245,2021-05-09 16:34:11,47,2162,25056,729,0,6544,0,0,98
246,2021-05-09 16:34:16,48,2160,25142,749,0,28027,0,0,98
247,2021-05-09 16:34:21,48,2158,22245,688,0,13703,0,0,98
248,2021-05-09 16:34:26,48,2159,21338,661,0,22869,0,0,98
249,2021-05-09 16:34:31,48,2159,22599,676,0,392,0,0,98
250,2021-05-09 16:34:36,48,2159,22705,681,0,6926,0,0,98
251,2021-05-09 16:34:41,48,2161,20947,656,0,5247,0,0,98
252,2021-05-09 16:34:46,48,2160,24248,679,0,6534,0,0,98
253,2021-05-09 16:34:51,47,2163,27213,747,0,84,0,0,98
254,2021-05-09 16:34:56,48,2160,24644,716,0,6534,0,0,98
255,2021-05-09 16:35:01,48,2161,26918,749,0,7722,0,0,98
256,2021-05-09 16:35:06,48,2158,24691,723,0,6534,0,0,98
257,2021-05-09 16:35:12,48,2159,25595,693,0,16279,0,0,98
258,2021-05-09 16:35:17,48,2173,30137,757,0,91743,0,0,98
259,2021-05-09 16:35:22,47,2181,33151,763,0,6836,0,0,98
260,2021-05-09 16:35:27,47,2163,25710,721,0,47,0,0,98
261,2021-05-09 16:35:32,48,2163,25851,706,0,10853,0,0,98
